vessel,carrier,voyage No.,service,POD,ETA,Berthing,Updatetime
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/10 20:00,2022/9/10 21:00,2022/9/7 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/11 23:00,2022/9/12 0:00,2022/9/7 15:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26 18:00,2022/9/27 8:30,2022/9/26 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/7 7:00,2022/9/7 8:00,2022/9/1 23:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,YOK,2022/9/11,2022/9/11,2022/9/1 23:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,YOK,2022/9/8 7:30,2022/9/8 8:30,2022/9/1 23:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/7 23:59,2022/9/8 1:00,2022/9/1 23:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/8 19:00,2022/9/8 20:00,2022/9/1 23:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/10 7:06,2022/9/10 7:45,2022/9/10 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/8 13:43,2022/9/8 14:33,2022/9/8 23:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/14 20:00,2022/9/14 21:00,2022/9/8 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25,2022/9/25,2022/9/8 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/12 23:45,2022/9/13 0:30,2022/9/13 7:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,YOK,2022/9/8 18:05,2022/9/8 18:55,2022/9/8 23:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,YOK,2022/9/15 18:00,2022/9/15 19:00,2022/9/8 23:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,YOK,2022/9/22,2022/9/22,2022/9/8 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/11 14:00,2022/9/11 15:00,2022/9/8 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/24,2022/9/24,2022/9/8 23:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/10 20:15,2022/9/10 21:15,2022/9/8 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25,2022/9/25,2022/9/8 23:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/8 7:00,2022/9/8 8:00,2022/9/5 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/8 15:00,2022/9/8 16:00,2022/9/5 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,TYO,2022/9/12 7:00,2022/9/12 8:00,2022/9/5 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,YOK,2022/9/9 7:30,2022/9/9 8:30,2022/9/5 15:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,YOK,2022/9/9 18:00,2022/9/9 19:00,2022/9/5 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,YOK,2022/9/13 7:30,2022/9/13 8:30,2022/9/5 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OSA,2022/9/9 17:00,2022/9/9 18:00,2022/9/5 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/10 7:15,2022/9/10 8:15,2022/9/5 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,TYO,2022/9/13,2022/9/13,2022/9/9 23:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/8 14:00,2022/9/8 15:00,2022/9/6 23:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/9 6:30,2022/9/9 7:30,2022/9/6 23:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,YOK,2022/9/8 18:00,2022/9/8 19:00,2022/9/6 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/12 11:40,2022/9/12 12:40,2022/9/9 23:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/9 6:05,2022/9/9,2022/9/9 7:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,TYO,2022/9/23 18:00,2022/9/23 19:00,2022/9/22 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 21:00,2022/9/25 22:00,2022/9/22 23:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,TYO,2022/9/30 7:00,2022/9/30 8:00,2022/9/22 23:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,TYO,2022/9/8 13:43,2022/9/8,2022/9/8 15:00
EVER BLESS (BKLT),EVG,0997-039B / 1005-040A,NSD,TYO,2022/9/24,2022/9/24,2022/9/8 15:00
EVER BLESS (BKLT),EVG,0997-039B / 1005-040A,NSD,YOK,2022/9/25,2022/9/25,2022/9/8 15:00
GREEN CELEBRITY (3FXL2),EVG,1881-059N / 1883-060S,NSA,OBE,2022/9/10 19:10,2022/9/10 20:02,2022/9/10 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OBE,2022/9/13 0:20,2022/9/13 1:20,2022/9/10 23:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,YOK,2022/10/1 7:30,2022/10/1 8:30,2022/9/22 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/27 7:00,2022/9/27 8:00,2022/9/22 23:00
EVER BIRTH (3EUL8),EVG,1420-059N / 1424-060S,NSD,TYO,2022/9/9 6:05,2022/9/9 6:52,2022/9/9 15:00
EVER CONNECT (3E2049),EVG,1546-009N / 1549-010S,NSC,YOK,2022/9/9 7:30,2022/9/9 8:20,2022/9/9 15:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/15 6:30,2022/9/15 7:30,2022/9/13 15:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,YOK,2022/9/13 7:30,2022/9/13 8:10,2022/9/13 15:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,YOK,2022/9/14 18:00,2022/9/14 19:00,2022/9/13 15:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25 17:20,2022/9/25 18:20,2022/9/22 23:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,TYO,2022/9/23 18:30,2022/9/23 19:30,2022/9/20 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 14:00,2022/9/25 15:00,2022/9/20 23:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,TYO,2022/9/30,2022/9/30,2022/9/11 7:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,TYO,2022/9/29,2022/9/29,2022/9/11 7:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26,2022/9/26,2022/9/11 7:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,YOK,2022/9/30,2022/9/30,2022/9/11 7:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,YOK,2022/10/1,2022/10/1,2022/9/11 7:00
EVER BIRTH (3EUL8),EVG,1424-060N / 1428-061S,NSD,TYO,2022/10/7,2022/10/7,2022/9/18 7:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1,2022/10/1,2022/9/11 7:00
EVER COMMAND (5LCT7),EVG,1550-021N / 1554-022S,NSC,TYO,2022/10/6,2022/10/6,2022/9/18 7:00
EVER BLESS (BKLT),EVG,0997-039B / 1005-040A,NSD,OBE,2022/9/28,2022/9/28,2022/9/11 7:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OBE,2022/10/1,2022/10/1,2022/9/11 7:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,YOK,2022/9/23 7:30,2022/9/23 8:30,2022/9/20 23:00
EVER BIRTH (3EUL8),EVG,1424-060N / 1428-061S,NSD,YOK,2022/10/8,2022/10/8,2022/9/18 7:00
EVER COMMAND (5LCT7),EVG,1550-021N / 1554-022S,NSC,YOK,2022/10/7,2022/10/7,2022/9/18 7:00
GREEN CELEBRITY (3FXL2),EVG,1887-062N / 1890-063S,NSA,OSA,2022/10/8,2022/10/8,2022/9/18 7:00
GREEN CELEBRITY (3FXL2),EVG,1887-062N / 1890-063S,NSA,OBE,2022/10/8,2022/10/8,2022/9/18 7:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,TYO,2022/9/12 18:00,2022/9/12 19:00,2022/9/11 15:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/12 13:00,2022/9/12 14:00,2022/9/11 15:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,YOK,2022/9/14 17:55,2022/9/14 18:35,2022/9/14 23:00
EVER COMMAND (5LCT7),EVG,1547-020N / 1550-021S,NSC,TYO,2022/9/12 18:10,2022/9/12 18:53,2022/9/12 23:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/14 18:30,2022/9/14 19:30,2022/9/12 23:00
EVER CONCISE (3E3545),EVG,1882-016N / 1884-017S,NSA,OSA,2022/9/12 12:51,2022/9/12 13:30,2022/9/12 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/25 7:00,2022/9/25 8:00,2022/9/12 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25 20:00,2022/9/25 21:00,2022/9/12 23:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/15 6:16,2022/9/15,2022/9/15 7:00
EVER BEAMY (BKLK),EVG,1421-036N / 1425-037S,NSD,TYO,2022/9/15 6:16,2022/9/15 7:06,2022/9/15 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,TYO,2022/9/30 18:30,2022/9/30 19:30,2022/9/27 15:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26 18:36,2022/9/27 8:15,2022/9/27 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,YOK,2022/10/1 18:00,2022/10/1 19:00,2022/9/27 15:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 16:00,2022/9/25 17:00,2022/9/15 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26 18:00,2022/9/26 19:00,2022/9/15 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/25 9:00,2022/9/25 10:00,2022/9/15 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25 21:00,2022/9/25 22:00,2022/9/15 23:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1 9:15,2022/10/1 10:15,2022/9/27 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OBE,2022/10/1 20:00,2022/10/1 21:00,2022/9/27 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,YOK,2022/9/30 17:50,2022/9/30 18:30,2022/9/30 23:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1 15:40,2022/10/1 16:40,2022/9/30 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 20:00,2022/9/25 21:00,2022/9/24 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1 15:57,2022/10/1 16:32,2022/10/1 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/27,2022/9/27,2022/9/22 15:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/25 6:50,2022/9/25 7:50,2022/9/22 15:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25 16:50,2022/9/25 17:50,2022/9/22 15:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,TYO,2022/9/23 16:30,2022/9/23 17:30,2022/9/21 23:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,TYO,2022/10/1 6:30,2022/10/1 7:30,2022/9/29 23:00
EVER BIRTH (3EUL8),EVG,1424-060N / 1428-061S,NSD,TYO,2022/10/8 7:00,2022/10/8 8:00,2022/9/29 23:00
EVER BIRTH (3EUL8),EVG,1424-060N / 1428-061S,NSD,YOK,2022/10/9 7:30,2022/10/9 8:30,2022/9/29 23:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1 16:00,2022/10/1 17:00,2022/9/29 23:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OBE,2022/10/1 7:00,2022/10/1 8:00,2022/9/29 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 19:44,2022/9/25 20:45,2022/9/25 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26 18:00,2022/9/27 8:00,2022/9/25 23:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,TYO,2022/9/23 17:41,2022/9/23 18:38,2022/9/23 23:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,TYO,2022/9/25 16:50,2022/9/25 17:50,2022/9/23 23:00
EVER CROWN (3EEF9),EVG,1548-026N / 1552-027S,NSC,YOK,2022/9/23 7:30,2022/9/23 8:10,2022/9/23 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/25 1:00,2022/9/25 2:00,2022/9/23 23:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OBE,2022/9/25 17:00,2022/9/25 17:52,2022/9/25 23:00
EVER BEAMY (BKLK),EVG,1425-037N / 1429-038S,NSD,TYO,2022/10/10,2022/10/10,2022/9/25 7:00
EVER CROWN (3EEF9),EVG,1552-027N / 1555-028S,NSC,TYO,2022/10/13,2022/10/13,2022/9/25 7:00
EVER BEAMY (BKLK),EVG,1425-037N / 1429-038S,NSD,YOK,2022/10/11,2022/10/11,2022/9/25 7:00
EVER CROWN (3EEF9),EVG,1552-027N / 1555-028S,NSC,YOK,2022/10/14,2022/10/14,2022/9/25 7:00
GREEN CELEBRITY (3FXL2),EVG,1883-060N / 1887-062S,NSA,OSA,2022/9/25 1:00,2022/9/25 1:39,2022/9/25 7:00
EVER BURLY (H9ON),EVG,1422-041N / 1426-042S,NSD,YOK,2022/9/26 18:36,2022/9/27 8:30,2022/9/26 23:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,TYO,2022/9/30,2022/9/30,2022/9/26 15:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,TYO,2022/9/30 11:00,2022/9/30 11:55,2022/9/30 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/10/1 16:30,2022/10/1 17:30,2022/9/30 15:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,TYO,2022/9/30 11:00,2022/9/30 12:00,2022/9/29 15:00
EVER BIRTH (3EUL8),EVG,1424-060N / 1428-061S,NSD,TYO,2022/10/8,2022/10/8,2022/9/29 15:00
EVER CROWN (3EEF9),EVG,1552-027N / 1555-028S,NSC,TYO,2022/10/14,2022/10/14,2022/9/29 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,YOK,2022/9/30 18:00,2022/9/30 19:00,2022/9/29 15:00
EVER CROWN (3EEF9),EVG,1552-027N / 1555-028S,NSC,YOK,2022/10/15,2022/10/15,2022/9/29 15:00
EVER CONNECT (3E2049),EVG,1549-010N / 1553-011S,NSC,TYO,2022/10/1 6:26,2022/10/1 7:13,2022/10/1 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OSA,2022/9/28 19:00,2022/9/29,2022/9/27 23:00
EVER BRAVE (3FEB),EVG,1423-051N / 1427-052S,NSD,YOK,2022/10/1 7:35,2022/10/1 8:15,2022/10/1 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OBE,2022/10/1 6:30,2022/10/1 7:10,2022/10/1 15:00
EVER CONCISE (3E3545),EVG,1884-017N / 1889-018S,NSA,OBE,2022/10/1 6:35,2022/10/1 8:00,2022/10/1 7:00
EVER BEAMY (BKLK),EVG,1425-037N / 1430-038S,NSD,TYO,2022/10/17,2022/10/17,2022/10/2 7:00
EVER CONNECT (3E2049),EVG,1553-011N / 1556-012S,NSC,TYO,2022/10/21,2022/10/21,2022/10/2 7:00
EVER BEAMY (BKLK),EVG,1425-037N / 1430-038S,NSD,YOK,2022/10/18,2022/10/18,2022/10/2 7:00
EVER CONNECT (3E2049),EVG,1553-011N / 1556-012S,NSC,YOK,2022/10/22,2022/10/22,2022/10/2 7:00
GREEN CELEBRITY (3FXL2),EVG,1890-063N / 1892-064S,NSA,OSA,2022/10/22,2022/10/22,2022/10/2 7:00
GREEN CELEBRITY (3FXL2),EVG,1890-063N / 1892-064S,NSA,OBE,2022/10/22,2022/10/22,2022/10/2 7:00
A XINXIA (9V7266),SAS,2206E / 2206W,NA,OSA,2022/8/30,2022/8/30,2022/8/29 15:00
JOSCO XINGFU (BOFO4),SAS,2222E / 2222W,NA,OSA,2022/9/2,2022/9/2,2022/8/29 15:00
ORTOLAN EPSILON (CQAA6),SAS,2202E / 2202W,NA,OSA,2022/9/3,2022/9/3,2022/8/29 15:00
JOSCO BELLE (BOQQ8),SAS,2219E / 2219W,NA,OSA,2022/8/28 12:26,2022/8/29 7:20,2022/8/29 15:00
XIN TAI PING (BSDU),SAS,2234E / 2234W,NA,OSA,2022/9/5,2022/9/5,2022/8/29 15:00
JOSCO BELLE (BOQQ8),SAS,2220E / 2220W,NA,OSA,2022/9/9,2022/9/9,2022/8/29 15:00
A XINXIA (9V7266),SAS,2207E / 2207W,NA,OSA,2022/9/9,2022/9/9,2022/8/29 15:00
JOSCO BELLE (BOQQ8),SAS,2219E / 2219W,NA,TYO,2022/8/30 18:00,2022/8/30 19:00,2022/8/29 23:00
ORTOLAN EPSILON (CQAA6),SAS,2203E / 2203W,NA,OSA,2022/9/12,2022/9/12,2022/8/29 15:00
A XINXIA (9V7266),SAS,2208E / 2208W,NA,OSA,2022/9/16,2022/9/16,2022/8/29 15:00
JOSCO XINGFU (BOFO4),SAS,2223E / 2223W,NA,OSA,2022/9/16,2022/9/16,2022/8/29 15:00
JOSCO SHINE (VRRM7),SAS,2211E / 2211W,NA,OBE,2022/8/16 13:10,2022/8/16 17:37,2022/8/29 15:00
JOSCO ALMA (VRUR3),SAS,2204E / 2204W,NA,OBE,2022/8/16 19:45,2022/8/17 7:20,2022/8/29 15:00
JOSCO BELLE (BOQQ8),SAS,2218E / 2218W,NA,TYO,2022/8/15 18:48,2022/8/16 7:37,2022/8/29 15:00
JOSCO REAL (VRRM8),SAS,2210E / 2210W,NA,TYO,2022/8/18 6:30,2022/8/18 18:31,2022/8/29 15:00
JOSCO JANE (VRUS8),SAS,2202E / 2202W,NA,TYO,2022/8/22 20:23,2022/8/23 7:36,2022/8/29 15:00
JOSCO DIANA (BOQA9),SAS,2222E / 2222W,NA,TYO,2022/8/24 6:48,2022/8/24 18:48,2022/8/29 15:00
JOSCO XINGFU (BOFO4),SAS,2221E / 2221W,NA,TYO,2022/8/23 21:40,2022/8/23 22:12,2022/8/29 15:00
JOSCO BELLE (BOQQ8),SAS,2219E / 2219W,NA,TYO,2022/8/30,2022/8/30,2022/8/29 15:00
JOSCO JANE (VRUS8),SAS,2203E / 2203W,NA,TYO,2022/8/31,2022/8/31,2022/8/29 15:00
JOSCO XINGFU (BOFO4),SAS,2222E / 2222W,NA,TYO,2022/9/3,2022/9/3,2022/8/29 15:00
JOSCO DIANA (BOQA9),SAS,2223E / 2223W,NA,TYO,2022/9/4,2022/9/4,2022/8/29 15:00
